	team_number	year	regional	g_rnd	match	score	win	score_std	regional_numcode	g_rnd_numcode	prob_loss	prob_win
404694	frc4005	2019	okok	Final	1	69.0	1	-0.20309172807066883	244	0	0.5587316278755439	0.4412683721244562
404695	frc1619	2019	okok	Final	1	69.0	1	-0.20309172807066883	244	0	0.5587316278755439	0.4412683721244562
404696	frc6026	2019	okok	Final	1	69.0	1	-0.20309172807066883	244	0	0.5587316278755439	0.4412683721244562
404697	frc4499	2019	okok	Final	1	38.0	0	-1.9947331979072245	244	0	0.9459454433659227	0.054054556634077336
404698	frc1410	2019	okok	Final	1	38.0	0	-1.9947331979072245	244	0	0.9459454433659227	0.054054556634077336
404699	frc2461	2019	okok	Final	1	38.0	0	-1.9947331979072245	244	0	0.9459454433659227	0.054054556634077336
404700	frc4005	2019	okok	Final	2	66.0	0	-0.3764763864419484	244	0	0.6201445926509905	0.37985540734900947
404701	frc1619	2019	okok	Final	2	66.0	0	-0.3764763864419484	244	0	0.6201445926509905	0.37985540734900947
404702	frc6026	2019	okok	Final	2	66.0	0	-0.3764763864419484	244	0	0.6201445926509905	0.37985540734900947
404703	frc4499	2019	okok	Final	2	69.0	1	-0.20309172807066883	244	0	0.5587316278755439	0.4412683721244562
404704	frc1410	2019	okok	Final	2	69.0	1	-0.20309172807066883	244	0	0.5587316278755439	0.4412683721244562
404705	frc2461	2019	okok	Final	2	69.0	1	-0.20309172807066883	244	0	0.5587316278755439	0.4412683721244562
404706	frc4005	2019	okok	Final	3	80.0	1	0.4326520192906896	244	0	0.33273241393735453	0.6672675860626455
404707	frc1619	2019	okok	Final	3	80.0	1	0.4326520192906896	244	0	0.33273241393735453	0.6672675860626455
404708	frc6026	2019	okok	Final	3	80.0	1	0.4326520192906896	244	0	0.33273241393735453	0.6672675860626455
404709	frc4499	2019	okok	Final	3	54.0	0	-1.0700150199270666	244	0	0.8185784448189231	0.18142155518107692
404710	frc1410	2019	okok	Final	3	54.0	0	-1.0700150199270666	244	0	0.8185784448189231	0.18142155518107692
404711	frc2461	2019	okok	Final	3	54.0	0	-1.0700150199270666	244	0	0.8185784448189231	0.18142155518107692
404712	frc4005	2019	okok	QtrF	1	72.0	1	0.41944177010000383	244	1	0.33704533532692116	0.6629546646730788
404713	frc1619	2019	okok	QtrF	1	72.0	1	0.41944177010000383	244	1	0.33704533532692116	0.6629546646730788
404714	frc6026	2019	okok	QtrF	1	72.0	1	0.41944177010000383	244	1	0.33704533532692116	0.6629546646730788
404715	frc932	2019	okok	QtrF	1	52.0	0	-0.6848998995645997	244	1	0.7195532817695167	0.2804467182304833
404716	frc7744	2019	okok	QtrF	1	52.0	0	-0.6848998995645997	244	1	0.7195532817695167	0.2804467182304833
404717	frc1561	2019	okok	QtrF	1	52.0	0	-0.6848998995645997	244	1	0.7195532817695167	0.2804467182304833
404718	frc4005	2019	okok	QtrF	2	68.0	1	0.19857343616708314	244	1	0.4127176601707936	0.5872823398292064
404719	frc1619	2019	okok	QtrF	2	68.0	1	0.19857343616708314	244	1	0.4127176601707936	0.5872823398292064
404720	frc6026	2019	okok	QtrF	2	68.0	1	0.19857343616708314	244	1	0.4127176601707936	0.5872823398292064
404721	frc932	2019	okok	QtrF	2	52.0	0	-0.6848998995645997	244	1	0.7195532817695167	0.2804467182304833
404722	frc7744	2019	okok	QtrF	2	52.0	0	-0.6848998995645997	244	1	0.7195532817695167	0.2804467182304833
404723	frc1561	2019	okok	QtrF	2	52.0	0	-0.6848998995645997	244	1	0.7195532817695167	0.2804467182304833
404724	frc2341	2019	okok	QtrF	1	89.0	1	1.3581321893149167	244	1	0.11380861171076306	0.8861913882892369
404725	frc3247	2019	okok	QtrF	1	89.0	1	1.3581321893149167	244	1	0.11380861171076306	0.8861913882892369
404726	frc2765	2019	okok	QtrF	1	89.0	1	1.3581321893149167	244	1	0.11380861171076306	0.8861913882892369
404727	frc4550	2019	okok	QtrF	1	60.0	0	-0.24316323169875828	244	1	0.5731592062208968	0.4268407937791033
404728	frc2996	2019	okok	QtrF	1	60.0	0	-0.24316323169875828	244	1	0.5731592062208968	0.4268407937791033
404729	frc3179	2019	okok	QtrF	1	60.0	0	-0.24316323169875828	244	1	0.5731592062208968	0.4268407937791033
404730	frc2341	2019	okok	QtrF	2	66.0	0	0.08813926920062279	244	1	0.4524272467704419	0.5475727532295581
404731	frc3247	2019	okok	QtrF	2	66.0	0	0.08813926920062279	244	1	0.4524272467704419	0.5475727532295581
404732	frc2765	2019	okok	QtrF	2	66.0	0	0.08813926920062279	244	1	0.4524272467704419	0.5475727532295581
404733	frc4550	2019	okok	QtrF	2	69.0	1	0.2537905196503133	244	1	0.39324821979556357	0.6067517802044364
404734	frc2996	2019	okok	QtrF	2	69.0	1	0.2537905196503133	244	1	0.39324821979556357	0.6067517802044364
404735	frc3179	2019	okok	QtrF	2	69.0	1	0.2537905196503133	244	1	0.39324821979556357	0.6067517802044364
404736	frc2341	2019	okok	QtrF	3	72.0	1	0.41944177010000383	244	1	0.33704533532692116	0.6629546646730788
404737	frc3247	2019	okok	QtrF	3	72.0	1	0.41944177010000383	244	1	0.33704533532692116	0.6629546646730788
404738	frc2765	2019	okok	QtrF	3	72.0	1	0.41944177010000383	244	1	0.33704533532692116	0.6629546646730788
404739	frc4550	2019	okok	QtrF	3	59.0	0	-0.29838031518198843	244	1	0.5928329780338859	0.4071670219661141
404740	frc2996	2019	okok	QtrF	3	59.0	0	-0.29838031518198843	244	1	0.5928329780338859	0.4071670219661141
404741	frc3179	2019	okok	QtrF	3	59.0	0	-0.29838031518198843	244	1	0.5928329780338859	0.4071670219661141
404742	frc4522	2019	okok	QtrF	1	57.0	1	-0.4088144821484488	244	1	0.6312452873222343	0.3687547126777657
404743	frc2410	2019	okok	QtrF	1	57.0	1	-0.4088144821484488	244	1	0.6312452873222343	0.3687547126777657
404744	frc3612	2019	okok	QtrF	1	57.0	1	-0.4088144821484488	244	1	0.6312452873222343	0.3687547126777657
404745	frc5578	2019	okok	QtrF	1	49.0	0	-0.8505511500142903	244	1	0.7658558868972394	0.23414411310276068
404746	frc2354	2019	okok	QtrF	1	49.0	0	-0.8505511500142903	244	1	0.7658558868972394	0.23414411310276068
404747	frc4500	2019	okok	QtrF	1	49.0	0	-0.8505511500142903	244	1	0.7658558868972394	0.23414411310276068
404748	frc4522	2019	okok	QtrF	2	71.0	1	0.36422468661677365	244	1	0.3553619011894207	0.6446380988105793
404749	frc2410	2019	okok	QtrF	2	71.0	1	0.36422468661677365	244	1	0.3553619011894207	0.6446380988105793
404750	frc3612	2019	okok	QtrF	2	71.0	1	0.36422468661677365	244	1	0.3553619011894207	0.6446380988105793
404751	frc5578	2019	okok	QtrF	2	50.0	0	-0.7953340665310601	244	1	0.7510313521574878	0.2489686478425121
404752	frc2354	2019	okok	QtrF	2	50.0	0	-0.7953340665310601	244	1	0.7510313521574878	0.2489686478425121
404753	frc4500	2019	okok	QtrF	2	50.0	0	-0.7953340665310601	244	1	0.7510313521574878	0.2489686478425121
404754	frc4293	2019	okok	QtrF	1	48.0	0	-0.9057682334975204	244	1	0.7800562190641692	0.21994378093583075
404755	frc4523	2019	okok	QtrF	1	48.0	0	-0.9057682334975204	244	1	0.7800562190641692	0.21994378093583075
404756	frc5730	2019	okok	QtrF	1	48.0	0	-0.9057682334975204	244	1	0.7800562190641692	0.21994378093583075
404757	frc4499	2019	okok	QtrF	1	70.0	1	0.3090076031335435	244	1	0.3741121547093109	0.6258878452906891
404758	frc1410	2019	okok	QtrF	1	70.0	1	0.3090076031335435	244	1	0.3741121547093109	0.6258878452906891
404759	frc2461	2019	okok	QtrF	1	70.0	1	0.3090076031335435	244	1	0.3741121547093109	0.6258878452906891
404760	frc4293	2019	okok	QtrF	2	67.0	1	0.14335635268385297	244	1	0.43246398341880377	0.5675360165811962
404761	frc4523	2019	okok	QtrF	2	67.0	1	0.14335635268385297	244	1	0.43246398341880377	0.5675360165811962
404762	frc5730	2019	okok	QtrF	2	67.0	1	0.14335635268385297	244	1	0.43246398341880377	0.5675360165811962
404763	frc4499	2019	okok	QtrF	2	63.0	0	-0.07751198124906775	244	1	0.5129825891950144	0.48701741080498556
404764	frc1410	2019	okok	QtrF	2	63.0	0	-0.07751198124906775	244	1	0.5129825891950144	0.48701741080498556
404765	frc2461	2019	okok	QtrF	2	63.0	0	-0.07751198124906775	244	1	0.5129825891950144	0.48701741080498556
404766	frc4293	2019	okok	QtrF	3	62.0	0	-0.13272906473229792	244	1	0.5331709144818315	0.46682908551816843
404767	frc4523	2019	okok	QtrF	3	62.0	0	-0.13272906473229792	244	1	0.5331709144818315	0.46682908551816843
404768	frc5730	2019	okok	QtrF	3	62.0	0	-0.13272906473229792	244	1	0.5331709144818315	0.46682908551816843
404769	frc4499	2019	okok	QtrF	3	71.0	1	0.36422468661677365	244	1	0.3553619011894207	0.6446380988105793
404770	frc1410	2019	okok	QtrF	3	71.0	1	0.36422468661677365	244	1	0.3553619011894207	0.6446380988105793
404771	frc2461	2019	okok	QtrF	3	71.0	1	0.36422468661677365	244	1	0.3553619011894207	0.6446380988105793
405330	frc4005	2019	okok	SemiF	1	77.0	1	0.3599877806730287	244	3	0.3567858086227774	0.6432141913772226
405331	frc1619	2019	okok	SemiF	1	77.0	1	0.3599877806730287	244	3	0.3567858086227774	0.6432141913772226
405332	frc6026	2019	okok	SemiF	1	77.0	1	0.3599877806730287	244	3	0.3567858086227774	0.6432141913772226
405333	frc2341	2019	okok	SemiF	1	69.0	0	-0.07077705576469905	244	3	0.5105159009974564	0.48948409900254364
405334	frc3247	2019	okok	SemiF	1	69.0	0	-0.07077705576469905	244	3	0.5105159009974564	0.48948409900254364
405335	frc2765	2019	okok	SemiF	1	69.0	0	-0.07077705576469905	244	3	0.5105159009974564	0.48948409900254364
405336	frc4005	2019	okok	SemiF	2	0.0	0	-3.7861237700401014	244	3	0.9958809205555406	0.004119079444459457
405337	frc1619	2019	okok	SemiF	2	0.0	0	-3.7861237700401014	244	3	0.9958809205555406	0.004119079444459457
405338	frc6026	2019	okok	SemiF	2	0.0	0	-3.7861237700401014	244	3	0.9958809205555406	0.004119079444459457
405339	frc2341	2019	okok	SemiF	2	58.0	1	-0.6630787058665747	244	3	0.7130536210614944	0.28694637893850555
405340	frc3247	2019	okok	SemiF	2	58.0	1	-0.6630787058665747	244	3	0.7130536210614944	0.28694637893850555
405341	frc2765	2019	okok	SemiF	2	58.0	1	-0.6630787058665747	244	3	0.7130536210614944	0.28694637893850555
405342	frc4005	2019	okok	SemiF	3	69.0	1	-0.07077705576469905	244	3	0.5105159009974564	0.48948409900254364
405343	frc1619	2019	okok	SemiF	3	69.0	1	-0.07077705576469905	244	3	0.5105159009974564	0.48948409900254364
405344	frc6026	2019	okok	SemiF	3	69.0	1	-0.07077705576469905	244	3	0.5105159009974564	0.48948409900254364
405345	frc2341	2019	okok	SemiF	3	59.0	0	-0.6092331013118588	244	3	0.6966370841769404	0.30336291582305963
405346	frc3247	2019	okok	SemiF	3	59.0	0	-0.6092331013118588	244	3	0.6966370841769404	0.30336291582305963
405347	frc5098	2019	okok	SemiF	3	59.0	0	-0.6092331013118588	244	3	0.6966370841769404	0.30336291582305963
405348	frc4522	2019	okok	SemiF	1	49.0	0	-1.1476891468590185	244	3	0.8348778213259761	0.16512217867402393
405349	frc2410	2019	okok	SemiF	1	49.0	0	-1.1476891468590185	244	3	0.8348778213259761	0.16512217867402393
405350	frc3612	2019	okok	SemiF	1	49.0	0	-1.1476891468590185	244	3	0.8348778213259761	0.16512217867402393
405351	frc4499	2019	okok	SemiF	1	78.0	1	0.4138333852277447	244	3	0.3388846271713316	0.6611153728286684
405352	frc1410	2019	okok	SemiF	1	78.0	1	0.4138333852277447	244	3	0.3388846271713316	0.6611153728286684
405353	frc2461	2019	okok	SemiF	1	78.0	1	0.4138333852277447	244	3	0.3388846271713316	0.6611153728286684
405354	frc4522	2019	okok	SemiF	2	79.0	1	0.4676789897824607	244	3	0.32143277132088766	0.6785672286791123
405355	frc2410	2019	okok	SemiF	2	79.0	1	0.4676789897824607	244	3	0.32143277132088766	0.6785672286791123
405356	frc5889	2019	okok	SemiF	2	79.0	1	0.4676789897824607	244	3	0.32143277132088766	0.6785672286791123
405357	frc4499	2019	okok	SemiF	2	69.0	0	-0.07077705576469905	244	3	0.5105159009974564	0.48948409900254364
405358	frc1410	2019	okok	SemiF	2	69.0	0	-0.07077705576469905	244	3	0.5105159009974564	0.48948409900254364
405359	frc2461	2019	okok	SemiF	2	69.0	0	-0.07077705576469905	244	3	0.5105159009974564	0.48948409900254364
405360	frc4522	2019	okok	SemiF	3	50.0	0	-1.0938435423043025	244	3	0.8237078305781633	0.1762921694218367
405361	frc2410	2019	okok	SemiF	3	50.0	0	-1.0938435423043025	244	3	0.8237078305781633	0.1762921694218367
405362	frc5889	2019	okok	SemiF	3	50.0	0	-1.0938435423043025	244	3	0.8237078305781633	0.1762921694218367
405363	frc4499	2019	okok	SemiF	3	66.0	1	-0.23231386942884696	244	3	0.5692640904663339	0.43073590953366614
405364	frc1410	2019	okok	SemiF	3	66.0	1	-0.23231386942884696	244	3	0.5692640904663339	0.43073590953366614
405365	frc2461	2019	okok	SemiF	3	66.0	1	-0.23231386942884696	244	3	0.5692640904663339	0.43073590953366614
